[2014-10-11 12:13:36,115] [DEBUG] (org.apache.ibatis.datasource.pooled.PooledDataSource:304)  - PooledDataSource forcefully closed/removed all connections.
 [2014-10-11 12:21:41,762] [INFO ] (com.lin.clould.web.command.CommandFactory:48)  - NodeList Length : 5
 [2014-10-11 12:21:41,952] [DEBUG] (org.apache.ibatis.logging.LogFactory:124)  - Logging initialized using 'class org.apache.ibatis.logging.slf4j.Slf4jImpl' adapter.
 [2014-10-11 12:21:41,961] [DEBUG] (org.apache.ibatis.datasource.pooled.PooledDataSource:304)  - PooledDataSource forcefully closed/removed all connections.
 [2014-10-11 12:21:41,961] [DEBUG] (org.apache.ibatis.datasource.pooled.PooledDataSource:304)  - PooledDataSource forcefully closed/removed all connections.
 [2014-10-11 12:21:41,962] [DEBUG] (org.apache.ibatis.datasource.pooled.PooledDataSource:304)  - PooledDataSource forcefully closed/removed all connections.
 [2014-10-11 12:21:41,962] [DEBUG] (org.apache.ibatis.datasource.pooled.PooledDataSource:304)  - PooledDataSource forcefully closed/removed all connections.
 [2014-10-11 12:21:41,962] [DEBUG] (org.apache.ibatis.datasource.pooled.PooledDataSource:304)  - PooledDataSource forcefully closed/removed all connections.
 [2014-10-11 12:21:41,963] [DEBUG] (org.apache.ibatis.datasource.pooled.PooledDataSource:304)  - PooledDataSource forcefully closed/removed all connections.
 [2014-10-11 12:21:41,963] [DEBUG] (org.apache.ibatis.datasource.pooled.PooledDataSource:304)  - PooledDataSource forcefully closed/removed all connections.
 [2014-10-11 12:21:41,964] [DEBUG] (org.apache.ibatis.datasource.pooled.PooledDataSource:304)  - PooledDataSource forcefully closed/removed all connections.
 [2014-10-11 12:21:41,964] [DEBUG] (org.apache.ibatis.datasource.pooled.PooledDataSource:304)  - PooledDataSource forcefully closed/removed all connections.
 [2014-10-11 12:21:41,965] [DEBUG] (org.apache.ibatis.datasource.pooled.PooledDataSource:304)  - PooledDataSource forcefully closed/removed all connections.
 [2014-10-11 12:21:41,965] [DEBUG] (org.apache.ibatis.datasource.pooled.PooledDataSource:304)  - PooledDataSource forcefully closed/removed all connections.
 [2014-10-11 12:21:41,965] [DEBUG] (org.apache.ibatis.datasource.pooled.PooledDataSource:304)  - PooledDataSource forcefully closed/removed all connections.
 [2014-10-11 12:22:10,892] [INFO ] (com.lin.clould.web.command.CommandFactory:48)  - NodeList Length : 5
 [2014-10-11 12:22:19,462] [INFO ] (com.lin.clould.web.command.CommandFactory:48)  - NodeList Length : 5
 [2014-10-11 12:22:56,911] [DEBUG] (org.apache.ibatis.datasource.pooled.PooledDataSource:304)  - PooledDataSource forcefully closed/removed all connections.
 [2014-10-11 12:31:02,520] [INFO ] (com.lin.clould.web.command.CommandFactory:48)  - NodeList Length : 5
 [2014-10-11 12:31:02,684] [DEBUG] (org.apache.ibatis.logging.LogFactory:124)  - Logging initialized using 'class org.apache.ibatis.logging.slf4j.Slf4jImpl' adapter.
 [2014-10-11 12:31:02,695] [DEBUG] (org.apache.ibatis.datasource.pooled.PooledDataSource:304)  - PooledDataSource forcefully closed/removed all connections.
 [2014-10-11 12:31:02,696] [DEBUG] (org.apache.ibatis.datasource.pooled.PooledDataSource:304)  - PooledDataSource forcefully closed/removed all connections.
 [2014-10-11 12:31:02,696] [DEBUG] (org.apache.ibatis.datasource.pooled.PooledDataSource:304)  - PooledDataSource forcefully closed/removed all connections.
 [2014-10-11 12:31:02,696] [DEBUG] (org.apache.ibatis.datasource.pooled.PooledDataSource:304)  - PooledDataSource forcefully closed/removed all connections.
 [2014-10-11 12:31:02,697] [DEBUG] (org.apache.ibatis.datasource.pooled.PooledDataSource:304)  - PooledDataSource forcefully closed/removed all connections.
 [2014-10-11 12:31:02,697] [DEBUG] (org.apache.ibatis.datasource.pooled.PooledDataSource:304)  - PooledDataSource forcefully closed/removed all connections.
 [2014-10-11 12:31:02,697] [DEBUG] (org.apache.ibatis.datasource.pooled.PooledDataSource:304)  - PooledDataSource forcefully closed/removed all connections.
 [2014-10-11 12:31:02,698] [DEBUG] (org.apache.ibatis.datasource.pooled.PooledDataSource:304)  - PooledDataSource forcefully closed/removed all connections.
 [2014-10-11 12:31:02,698] [DEBUG] (org.apache.ibatis.datasource.pooled.PooledDataSource:304)  - PooledDataSource forcefully closed/removed all connections.
 [2014-10-11 12:31:02,699] [DEBUG] (org.apache.ibatis.datasource.pooled.PooledDataSource:304)  - PooledDataSource forcefully closed/removed all connections.
 [2014-10-11 12:31:02,699] [DEBUG] (org.apache.ibatis.datasource.pooled.PooledDataSource:304)  - PooledDataSource forcefully closed/removed all connections.
 [2014-10-11 12:31:02,699] [DEBUG] (org.apache.ibatis.datasource.pooled.PooledDataSource:304)  - PooledDataSource forcefully closed/removed all connections.
 [2014-10-11 12:31:19,182] [INFO ] (com.lin.clould.web.command.CommandFactory:48)  - NodeList Length : 5
 [2014-10-11 12:33:25,651] [INFO ] (com.lin.clould.web.command.CommandFactory:48)  - NodeList Length : 5
